,name,rating,total_rating_given,price_level,address
161,LA TING TING,3.9,233,$$,"Shohel Market Rooftop Beside Rupayan City, Shonargaon Janapath road, Khalpar Bridge"
162,Tandoori,3.3,134,$$,Bir Uttam Ziaur Rahman Rd
163,The Rio Lounge,4.1,880,$$,"7th Floor, Gulshan Pink City Shopping Center, 15 Gulshan Ave"
164,Pizza Hut,4.3,"6,542",$$,"Plot # 754, Satmasjid Road"
165,Secret Oven,4.1,11,not specified,"House 6 , Block E, Rd No.17A"
166,Kurry Accent,4.3,380,$$$,"H.No, 9/A Rd 53"
167,The Cafe Rio Limited,3.9,"3,313",$$,"Mir Noor Square House No-43,Level 4, Road No-2/A, 1205 Opposite Jigatola Bus Stand"
168,Dhaba,4.1,504,$,House-15 Lane-14
169,Al Grissino Dhaka,4.5,57,not specified,"B, house no 77, 1230 Road-12"
170,Soul Food,5.0,1,$$,Badda Dhaka-1212
171,The Sizzle Restaurant,3.5,178,$$,PCRP+C3V
172,The Coffee Bean & Tea Leaf,4.3,"3,382",$$$,"House No 11, A Rd 117"
173,Hungry Restaurant,3.7,387,$$,Dcc-7
174,Tokyo Express,4.2,"1,590",$$,"House No: 16/B, Road No: 112"
175,Haji Biryani,4.0,"2,701",$$,"99, Motijheel b/a, (Karim Chamber), Beside Biman Office"
176,La Bamba,3.9,"2,896",$$,Rabindra Sarani
177,Tempt-Asia Restaurant,4.4,71,not specified,"Chandiwala Mansion, House 32 Rd No. 11"
178,Red Smoke Restaurant,3.7,170,$$,সদরঘাট - গাবতলি সড়ক
179,"New Sohag Hotel and Restaurant. 47, Kakrail, Ramna, Dhaka - 1000.(নিউ সোহাগ হোটেল এন্ড রেস্টুরেন্ট। ৪৭, কাকরাইল, রমনা, ঢাকা - ১০০০)",0,0,not specified,73 Pioneer Rd
180,Hobnob Coffee Banani,4.3,217,not specified,"2nd Floor, Taneem Square, 158/E Kemal Ataturk Ave"
181,Waterfall Garden Cafe & Restaurant,4.3,104,not specified,"suvastu market, 32/5 Shajadpur oposed"
182,"Grand Prince Thai & Chinese Restaurant, Dhaka.",3.9,"1,216",$$,"PARADISE PLAZA, PLOT NO. 6 & 11 MIRPUR-1,"
183,Dhakaiya Pakki Biriyani,2.5,2,$$,"Road-12, House 37,Dhaka"
184,Alitto Food,4.7,10,$$$,"Plot # 1, 2 ব্লক#ডি"
185,The Dining Lounge Mirpur,3.7,719,$$,Opens at 12:00 PM
186,Lake Green Lounge & Restaurant,3.7,250,$$,"Plot No-39, Block-C Aftab Nagar Main Rd"
187,The Garden Kitchen at Sheraton Dhaka,5.0,1,$$,44 Kemal Ataturk Ave
188,"The Cafe Rio, Uttara",4.1,"2,591",$$,"5th Floor, House # 6 Road # 2, Jashimuddin Ave"
189,Arabian Nights Restaurant,4.0,"1,362",$$,"22/14 Block C, Tajmahal Rd"
190,Pizza Hut,4.0,"1,225",not specified,"Sony Cinema Bhaban, Ist Floor, Plot-1, Block-D,Sector-02, Mirpur, Dhaka-1216"
191,Captain's World,4.0,"7,970",not specified,"Zahangir Gate, New Airport Road"
192,CapriCorn's World Sky Watch Restaurant,3.9,"1,652",$$,Q9GR+CVP
193,Onunishu best bangla restaurant at dhanmondi in dhaka,0,0,not specified,P9XQ+7PV
194,"Shawarma House, Mirpur 11.5",3.9,570,$$,"Pallabi Bus Stand, Mirpur, 11.5 Begum Rokeya Avenue"
195,Robot Restaurant Bangladesh,3.6,250,$$,"Family world tower, 2/6, Mirpur road, Asad gate"
196,Adda Restaurant Keraniganj,4.1,146,$$$,Nekrojbag Highway Road
197,Shanghai10,4.2,94,$$,"Level 7, House 100, Road 11, Block C Same Floor Of Sushi Samurai"
198,Koi-Pabda & Lobster Restaura,3.9,315,$$,"Alam Tower, 12 DIT Ave"
199,Hello Sir,3.8,12,$$,"Shop- 5, National School Market, Opposite Of Mirpur Model Thana, Mirpur- 2"
200,Filmy Cafe,3.6,332,not specified,"বাড়ি নং- ২৪, Rd No. 9"
201,Sanxi Thai Chinese,3.9,"1,159",$$,"House#1/B, Road#13, South"
202,Cheese Lab,3.6,706,$$,"20/5 west, Panthapath"
203,Red Orchid Restaurant & Party Center,3.9,930,$$,400 New Eskaton Road
204,Olympus Dhaka,0,0,not specified,"Block D, House #71, Rd No. 11"
205,Food Club Cafe,5.0,2,not specified,"Ta Ma House 185/4/A,South badda, 1212 lake road"
206,Amazon Lilly Lake View Residence,4.1,357,$$,Not Provided
207,Lakeshore Banani,4.3,"1,268",$$,Not Provided
208,La Bamba,3.9,788,$$,"Hous-09, Shonargaon Janapath (Near to House Building), Sector-07, Uttara"
209,Panshi Hotel & Restaurant,3.7,687,$$,"Ga- 72/9, Titash Mansion, Ga- 72/1 Progoti Sharani, Middle Badda"
210,Delhi Darbar,3.0,4,$$,"44, Probal Housing, Ring Rd"
211,KFC,3.9,"2,074",$$,"03 New Baily Road, 10 Natok Sharoni Gold Hunt Shopping Complex"
212,Daily Treats,4.5,2,not specified,"The Westin, Main Gulshan Ave"
213,Resturant সপ্তডিঙা,0,0,not specified,Panthapath
214,অয়েস্টার মিনি চাইনিজ ও রেঁস্তোরা,3.6,459,$$,"27 Monipuri Para, Sangshad Avenue"
215,Chicken Republic,3.6,68,$$,Bir Uttam Mir Shawkat Sarak
216,Pizza Hut,4.2,973,$$,"Ahmed Plaza, HOUSE No 6, Ground Floor, Beside Rak Tower, Road-2"
217,Azuki express,4.8,4,not specified,Road no.1 shornali abashon shwadesh properties khilkhet 300feet road
218,Shimante Kichukhon,4.0,382,$,21 Golondaz Rd
219,The Burger Bite,4.1,207,not specified,Rd No. 1
220,THE KABABIAN Multi-Cuisine RESTAURANT,4.1,198,not specified,"House # 7 ( opposite Abahoni Club), Road # 1 (AC Mosjid Road),, Block # G Halishahar H/Estate Chittagong"
221,Cafe Spice,4.1,25,not specified,Golondaz Rd
222,Bay Leaf Restaurant,4.0,284,not specified,"Holding No-2196, Plot-2, Road-2, Lane-1, Block-k, Halishahor H/E"
223,Khandani Restaurant,3.6,585,$$,"12/A, 3rd Floor, Shahamanat Complex Near Qrex Diagnostic Center, PC Road"
224,Bonfire Restaurant,3.7,337,$$,"Nochima Bhaban, k-block Port Connecting Road, Halishahar Housing Estate"
225,ফুড ফেস্টিভ্যাল রেস্টুরেন্ট,4.0,1,not specified,"Foillatoli Bazar, P H Amin, Halishahar Rd"
226,Ambrosia Restaurant Ltd,4.2,"2,073",$$,"1053, Ground Floor & 1st Floor, Jiban Bima Bhaban, Sheikh Mujib Rd"
227,Tayef Garden Rasoi,3.7,329,not specified,"Naya Bazar Circle, P.C Road"
228,Marvel Dine,4.0,9,not specified,"K- Block,House-8,Road-3,Silver bells school goli"
229,Grand Mughal restaurant,4.1,860,$$$,CMP Plaza
230,Spicy Kitchen Chittagong,4.3,40,not specified,কৈবল্যধাম সড়ক
231,Royal Hut,4.2,"2,032",$$,"15, O.R Nizam Road, Panchlaish, Opp. Shishu Park M.A Aziz Stadium Market"
232,Meal City,4.1,998,$$,"Equity Centrium, 5th floor G.E.C Circle NCC Bank Building, O. R. Nizam Rd R/A Rd"
233,Royal Hotel And Restaurant,3.6,349,not specified,"Agrabad Access Road, Agrabad, Barapole"
234,Regalo,4.1,426,not specified,"42, Moss Rose Heights, M.M Ali road, WASA Circle, Lalkhan Bazar"
235,Broast Cafe,4.1,"1,587",$$,"679, Highway Plaza ( 1st Floor, 846 CDA Ave"
236,Royal Hotel And Restaurant,3.6,349,$,"Agrabad Access Road, Agrabad, Barapole"
237,Regalo,4.1,426,not specified,"42, Moss Rose Heights, M.M Ali road, WASA Circle, Lalkhan Bazar"
238,Broast Cafe,4.1,"1,587",$$,"679, Highway Plaza ( 1st Floor, 846 CDA Ave"
239,Family Cafe,3.8,92,not specified,8QPJ+QRP
240,Faha's Kitchen,4.3,283,$$,"Aziz Court(1st Floor),88-90, Agrabad C/A Chittagong Chittagong"
241,New Diamond Restaurant Chittagong,4.4,11,$$,2656 Sheikh Mujib Rd
