,name,rating,total_rating_given,price_level,address
135,Xindian Restaurant,4.0,"3,610",$$,"House No.55, 55/A (New), 273 (Old) Road No.: 16 (New), 27(Old, 55/1 Rd No. 27"
136,Mainland China,4.2,"1,115",$$$,"Plot No 15, 14th Floor, Siaaam Tower, Service Rd"
137,Beauty Lacchi and Faluda,4.3,"5,535",$,"61, 1 Kazi Alauddin Rd"
138,S'MORES CAFE & RESTAURANT,4.0,889,$$,"28, 20 Road No. 2"
139,Pizza Hut,4.3,"6,542",$$,"Plot # 754, Satmasjid Road"
140,Dhaba,4.1,500,$,House-15 Lane-14
141,A & W,4.0,"1,284",$$,"House No# 39/C, 1st Floor, Road No#14/A, Satmasjid Road"
142,Rustic Eatery Banani,4.4,128,$$$,"House 2 Road 8, block D"
143,Kella Kebab & Restaurant,3.8,393,$$,"43, 1 Lalbagh Rd"
144,Salsa Chinese Restaurant and Party Center,3.9,138,$$,12 korimuller Bagh
145,Canton Chinese Restaurant,3.9,686,$$,"1/B, 10th Floor, Erra Tower, Outer Circular Road, Shahid Sangbadik Selina Parvin Road, Moghbazar Wireless"
146,Favola,3.6,7,not specified,Le Méridien Dhaka 79/A Commercial Area Dhaka
147,GREEN VALE ROOFTOP RESTAURANT,4.7,11,not specified,"208/2/A M D SQUARE, B B Road,Balur Math"
148,Md Ahsan,0,0,not specified,Bangladesh
149,Mikado Chinese,4.0,282,$$,"1st floor, 400 New Eskaton Road"
150,নোয়াখালী,0,0,not specified,Fsmssysg Gshhs Gjwnwuwh
151,Jaman Restaurant,3.8,82,not specified,"B- 2/5, South Badda"
152,Cheez Dhanmondi,4.3,843,$$,"Rangs KB Square, 2nd Floor, 736 Satmasjid Road"
153,Pizza Roma,4.2,887,$$,House 36 Rd 117
154,bangladesh,4.0,4,$$$,Heshakhal 01
155,Delhi Darbar,3.8,786,$$,"2nd Floor, Plot No.: 67 (New), Navana Gh - Height, Space A2, Sat Masjid Road, Dhanmondi"
156,Dark House Restaurant,3.9,108,$$,"32, 34 ka Lalbagh Rd"
157,ThangabaliBD,4.0,133,$$,"House 1/1, 1/2 Block-G, Mirpur- 01 Dhaka Dhaka"
158,The Dark Music Cafe And Restaurant,3.7,"1,743",$$,"ZR Plaza, Level#10 Satmasjid, Road No# 19(old),Road No# 9A(new), Dhanmondi, Dhaka"
159,Bistro 16,4.7,6,$$,"Road 16, House 54/A A Block, Banani Dhaka"
160,Domino's Pizza - Dhanmondi,4.3,"8,285",$$,"Rangs Fortune Square, Ground & First Floor, House/ Plot no #32 Rd 02 ঢাকা"
161,Oro,4.4,657,$$,"Rangs Arcade, 1st Floor, 153/A Madani Ave"
162,Street 11,3.8,666,$$,"House 25, 3rd Floor, Block C, Road No. 11, Banani"
163,Lakeshore Banani,4.3,"1,268",$$,Not Provided
164,বাংলা ভাতের রেস্টুরেন্ট,2.6,5,$,Sir Sayed Rd
165,The Forest Lounge (Dhanmondi),3.9,176,not specified,"Imperial Amin Centre (roof top - lift12), House #54, Road, 10/A Satmasjid Road"
166,Expert Kitchen BD,0,0,not specified,G.P.KA.72 South para
167,Sea Shell Restaurant,3.8,86,not specified,"D, House no: 88, 11 Rd 7"
168,CAFÉ EXILE,4.2,48,not specified,"house No # 3, Rd No.28"
169,Uptown Kitchen BD,4.1,10,not specified,"House 29, Road-2"
170,Nirob Hotel & Restaurant,3.6,12,$$,Not Provided
171,Waterfall Garden Cafe & Restaurant,4.3,104,$$,"suvastu market, 32/5 Shajadpur oposed"
172,ব্যাচেলর পয়েন্ট,5.0,1,$$,"Super Market Road, Dhaka"
173,BurgerBoy Bangladesh,5.0,4,$$,"House no. 104, Road no. 21, Block C/Dho Section 12, Pallabi"
174,Food Art Restaurant,4.0,3,$$,113 malibagh DIT road-1217 Dhaka
175,Baharia Restaurant,4.8,4,$$,88 Rd No 13A
176,Chef's Table Courtside,4.5,"7,177",not specified,Opens at 11:00 AM
177,Grilled Sin,0,0,not specified,"House: 36, Road: 2 Dhaka"
178,Rooftop Restaurant,3.8,83,not specified,Not Provided
179,Tasty Food BD,2.3,3,not specified,Dhanmondi 7A House 1-D/6 Dhaka
180,Sharif Food Court And Dream Park,4.1,227,not specified,Opens at 12:00 PM
181,Bon-appetit,3.6,77,not specified,"Show room :313, 3rd Floor, IDB Bhabon, E/-A, Rokeya Sarani, Sher-e-Bangla Nagar"
182,Macdonald Snacks,4.0,6,$$,PCG6+HGJ
183,LA TING TING,3.9,230,$$,"Shohel Market Rooftop Beside Rupayan City, Shonargaon Janapath road, Khalpar Bridge"
184,Calcutta Kitchen,4.7,6,$$,67c Rd No. 11
185,Hajirhat Fish Market (মাছ বাজার),0,0,$$,7X57+9MF
186,Hakka Dhaka,4.8,5,$$,"One Big Plate, Imperial Amin Ahmed Center(Level 10), 10th floor, 32 Rd 10/A"
187,The Garden Kitchen at Sheraton Dhaka,5.0,1,$$,44 Kemal Ataturk Ave
188,Peri Peri Pizza & Restaurant,4.8,5,$$,P8MJ+R6W
189,7G Restaurant,5.0,2,$$,84 Zakir Hossain Road
190,Garden Restaurant,3.1,14,$$,"Khilgaon, House : 2, Road: 11, Block L, South Banasree"
191,Kazi Asparagus Food Island Kalshi,4.0,"8,477",$$,"167/40, Kalshi road, Matikata, Near matikata Steel Bridge, dhaka Cantt"
192,FARS Hotel & Resorts,4.2,"3,551",$$,"Akram Center, 212 Shahid Syed Nazrul Islam Sharani"
193,Pizza Factory BD,4.0,1,$$,Lalbagh Rd
194,Iron-Chef,3.7,3,$$,"Shop No.: 5D-052 & 5A-008, Jamuna Future Park KA-244, Kuril, Progoti Saroni"
195,ব্যাতিক্রম রেস্তোরা,0,0,$$,"Beside Brookhil Shopping & Trade Center, Jamgora"
196,The Westin Dhaka,4.5,"12,772",$$,"Main Gulshan Avenue, Plot-01 Rd 45"
197,Bangladesh restaurant owners association,5.0,3,$$,"Al-Razi Complex(Royal Group), 166-167 Shahid Syed Nazrul Islam Sharani"
198,Hotel Ashrafee,3.9,662,$$,12 Outer Circular Rd
199,Kacchi,1.0,1,$$,75a Kazi Alauddin Rd
200,Fox Joint,1.0,1,not specified,"Ground Floor, Holding No. 56, Block F Rd No. 11"
201,MN BANGLADESH PVT LTD,5.0,1,not specified,Unnamed Road
202,foodpanda Chittagong,3.6,38,not specified,"IFCO Complex (4th Floor), 1147/A, GEC Circle, CDA Ave"
203,Renaissance Dhaka Gulshan Hotel,4.5,"1,213",not specified,78 Gulshan Ave
204,Meherin's Kitchen,4.8,5,not specified,"House# 78, Road# 12, Block# E"
205,"InterContinental Dhaka, an IHG Hotel",4.6,"7,303",not specified,Not Provided
206,Butterfly Park Bangladesh,3.9,"1,526",$$,"15, Naval Academy Road, Beside Airport, Patenga"
207,Sajna Art Gallery,5.0,1,$$,"B-60, Gulshan Shopping Center, Bir Uttom Mir Showkat Sarak, Gulshan-1"
208,HungryNaki,3.6,266,$$,"Asfia Tower, House - 76, Rd No. 11"
209,Hotel Pacific,3.7,372,$$,Not Provided
210,Butterfly Park Bangladesh,3.9,"1,526",$$,"15, Naval Academy Road, Beside Airport, Patenga"
211,Sajna Art Gallery,5.0,1,$$,"B-60, Gulshan Shopping Center, Bir Uttom Mir Showkat Sarak, Gulshan-1"
212,HungryNaki,3.6,266,$$,"Asfia Tower, House - 76, Rd No. 11"
213,Hotel Pacific,3.7,372,$$,Not Provided
